"","DBN","BN","Printed_Name","TotStudnts","School_Type","LangClass","APCourses","LeaderSupport","Sports","OnlineAP","OnlineLang","School_Type2","neighborhood","postalCode","precinct","school_district","lat","lon","Location","Boro","CouncilDistrict","CensusTract","grad2011","collenroll2011","grad2012","collenroll2012","sprtcode","apcode","langcode","leadcode","onlineapcode","onlinelangcode"
"1","01M292","M292","Henry Street School for International Studies","388",NA,"Chinese (Mandarin), Spanish","Psychology","Math through Card Play, Poetry Club, Drama Club, Big Brothers/Big Sisters, Student Government, Future Project","Boxing, CHAMPS, Double Dutch, Table tennis, Track and Field","Chinese Language and Culture, Spanish Literature","Chinese (Mandarin), Spanish",NA,"Lower East Side","10,002",7,1,40.7134809,-73.9853212,"220 Henry Street
New York, NY 10002
(40.7134809, -73.9853212)","MANHATTAN",1,"201",56.3,51.9,50.7,40,"1","1","1","1","1","1"
"2","01M448","M448","University Neighborhood High School","331",NA,"Chinese, Spanish","Calculus AB, Chinese Language and Culture, English Literature and Composition, Spanish Language, Spanish Literature, United States History, World History","Basketball, Badminton, Handball, Dance, Fitness Club, Ping-Pong, Tennis, Step Team, After-School tutoring, Peer Tutoring, Lunchtime Saturday SAT Prep, Regents Prep, National Honor Society, Council for Unity, Young Women's Empowerment, Student Assistance Services, Aviation Club (fly a real plane across the Long Island Sound), Board Games, Book Club, Chess, Robotics, Computer Club, Spanish Club, Student Government, Art Club, Audio Club at a live radio station, Music Club, Chorus, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals and School Beautification, Video Club","Interscholastic Athletics, Fitness Center",NA,NA,NA,"Lower East Side","10,002",7,1,40.712235,-73.983823,"200 Monroe Street
New York, NY 10002
(40.712235, -73.983823)","MANHATTAN",1,"202",70.7,36.3,74.4,67.3,"1","1","1","1","0","0"
"3","01M450","M450","East Side Community School","636",NA,NA,"Calculus AB, English Literature and Composition","After-School Tutoring, Art Portfolio Classes, Chess Team, I Challenge Myself Bicycling Program, Dance, Environmental Committee, Gay/Straight Alliance, Graphic Novel Club, Hip-Hop Beat Making & Rhyming, Model UN, School Newspaper, Peer Tutoring, Principal's Book Club, Rock Band Program, SAT Prep Classes, Scholars Program, School Newspaper, Skateboarding PE Classes, Student Council, Choir, Travel Club, Volleyball, Wall Street Wizards, Saturday Photography Program","Basketball, Bicycling, Fitness, Flag Football, Indoor Soccer, Running, Skateboarding, Softball, Volleyball",NA,"American Sign Language, Arabic, Chinese (Mandarin), English, French, German, Hebrew, Italian, Japanese, Korean, Latin, Modern Greek, Polish, Portuguese, Russian, Spanish",NA,"East Village","10,009",9,1,40.7298459,-73.9831511,"420 East 12 Street
New York, NY 10009
(40.7298459, -73.9831511)","MANHATTAN",2,"34",71.6,69.2,72.7,55.7,"1","1","0","1","0","1"
"4","01M509","M509","Marta Valle High School","367",NA,"Bengali, French, Spanish","Calculus AB, English Literature and Composition, Physics B","Model Peer Leadership Program, ""The Vine"" Student Newsletter, 21st Century After-school Program, Student Ambassadors, Animation, Annual College and Career Fair, Monthly College Tours, Annual Family Night, Art, Audio Recording, Break Dancing, Camping, Theater Trips, Capoiera, Cents Ability, Cheerleading, Chorus, College Courses, College Office, College Trips & Tours, Culinary Arts, CUNY and Free Application for Federal Student Aid (FAFSA) Application Workshops, Dance, Film, Gallatin Great Works Project (NYU), Jewelry Making, Kaplan SAT Prep, Monthly Family Resource Fairs, MOUSE Squad, Music Recording and Engineering, National Honor Society, New York University (NYU), Empire State College, Placement and Referral Office on site for Summer Youth Employment Program, Parent Resource Room, Publicolor, Painting, Peer Mediation and Conflict Resolution, Piano, Ping-Pong, Princeton Center for Leadership, Recyling, Rock Band, Saturday Success Academy Regents Prep, Smart and Fabulous Fashion Show, Songwriting, Step Dance, Student Advisory Council, Student Ambassador Program, Sarah Lawrence College Student Interns, Cafe Clubs (during lunchtime), Theater, Video Animation, Video Production, Visual Art, Voice, Volleyball, Young Entrepreneurs","Hip-Hop, Volleyball, Zumba","Calculus AB, English Language and Composition","Chinese (Mandarin), French, German, Spanish",NA,"Lower East Side","10,002",7,1,40.7205546,-73.9856836,"145 Stanton Street
New York, NY 10002
(40.7205546, -73.9856836)","MANHATTAN",1,"3,001",56.4,47.7,59.5,47.9,"1","1","1","1","1","1"
"5","01M539","M539","New Explorations into Science, Technology and Math High School","1,672",NA,"Chinese (Mandarin), French, German, Latin, Spanish","Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science A, Economics: Micro, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language, German Language, Government and Politics: Comparative, Music Theory, Physics B, Psychology, Spanish Language, Spanish Literature, Statistics, Studio Art: Drawing, United States History, World History","After-school Jazz Band, Annual Coffee House Concert, Annual Gallery Walk Art Exhibitions, Badminton, Baseball, Basketball, Borough Advisory Student Council, Boys Soccer, Community Service Learning, Competitive Ballroom Dancing, Creative Writing, Debate Committee, Debate Team, Educational Field Trips, Girls Volleyball, Green Club, Gay-Straight Alliance (GSA), Handball, Heart to Heart Charity, Kangaroo International Competition, Mandarin, Math Team, Model UN, National and Local Chess Championships, National Honor Society, NESTFest (Annual Talent Show), New York Math League Competition, Peer Leaders, Red Cross, Robotics, Scholastic Arts Competition, School Leadership Team (SLT), Social Justice, Softball, Student Government, The City Tones (Chorus), The Gauss Contest, The Purple Meet, Time Warner Cable, Ultimate Frisbee, Varsity Dance Team, Winter and Spring School Plays, World Science Festival, X-Country","Badminton, Baseball, Cross-Country, Dance, Outdoor Track, Soccer, Softball, Table Tennis, Volleyball",NA,NA,NA,"Lower East Side","10,002",7,1,40.7194927,-73.9791505,"111 Columbia Street
New York, NY 10002
(40.7194927, -73.9791505)","MANHATTAN",2,"2,201",95.3,87,97.5,82.8,"1","1","1","1","0","0"
"6","01M696","M696","Bard High School Early College","601",NA,"Chinese (Mandarin), Latin, Spanish",NA,"Bard Bulletin online newspaper, Bardvark student newspaper, Art Magazine, Asian Culture, BHSEC Connect, BHSEC Literary Magazine, BHSEC Student Activist Network, BHSEC Student's Union, Book, Break Dance, CAFE performances, Chinese Language and Culture, Current Events, Debate, ECO, Film, Future Doctors and Scientists of America (FDSA), Karaoke, Literary Magazine, MAC (Making A Change), Mock Trial, Model United Nations, Muslim Students Association, Philosophy, Step Team, Swim, Table Tennis, Theater Production, Winter and Spring Concerts, Yearbook","Co-ed Ultimate Frisbee",NA,NA,NA,"Lower East Side","10,002",7,1,40.7174607,-73.9765853,"525 East Houston Street
New York, NY 10002
(40.7174607, -73.9765853)","MANHATTAN",2,"1,002",97.6,95.7,96.6,96.8,"1","0","1","1","0","0"
"7","02M047","M047","""47"" The American Sign Language and English Secondary School","189",NA,"American Sign Language",NA,"Academic Bowl, ACT and SAT Test Preparation, After-school Mentoring and Tutoring, American Sign Language (ASL), Artist-in-Residence from Children's Museum of the Arts, Arts and Crafts, Boys Club, Chess, Comic Books, Community and Museum Internships, Computer-Photoshop, Conflict Resolution, Dance, Drama, Girls Club, Knitting, Mock Debates, One-on-one tutoring in all subjects, Peer Mediation, Regents Test Preparation, School Newspaper (in print and video), Student Council, Student Discussion Boards, Video Production and Editing, Visits to American Sign Language (ASL) Interpreted Broadway shows, Weight Room, Yearbook","Basketball, Cross Country, Track, Volleyball",NA,NA,NA,"Kips Bay","10,010",13,2,40.7382542,-73.9817613,"223 East 23 Street
New York, NY 10010
(40.7382542, -73.9817613)","MANHATTAN",2,"64",69.6,47.1,54.8,30.4,"1","0","1","1","0","0"
"8","02M135","M135","The Urban Assembly School for Emergency Management",NA,"CTE, New School",NA,NA,"Peer Mediation, Peer Tutoring, Student Council, National Honors Society, Yearbook, PSAT and SAT Preparation, Step, Dance, Clubs: Drama, Art and Photography, Chess","Intramural Basketball; Our students are eligible to participate in the Public Schools Athletic League (PSAL) program offered on the Graphics Educational Campus",NA,NA,"CTE, New School","Hell's Kitchen","10,019",18,2,40.7636131,-73.9911482,"439 West 49th Street
New York, NY 10019
(40.7636131, -73.9911482)","MANHATTAN",3,"127",NA,NA,NA,NA,"1","0","0","1","0","0"
"9","02M139","M139","Stephen T. Mather Building Arts & Craftsmanship High School",NA,"CTE, New School",NA,NA,"As we plan to offer student government, sports clubs, community service opportunities, yearbook, art & drama clubs, academic clubs around your favorite subject, academic intramurals, National Honor Society, industry clubs, Gay/Straight Alliance and other student-proposed clubs and activities.","We plan to offer intramural sports teams that reflect our students' interests including soccer, flag football, volleyball, softball, track, & others; we also would like students to get involved with weight lifting & aerobic training. PSAL boys & girls sports teams will be developed as we grow, and students can join campus-wide teams.",NA,NA,"CTE, New School","Two Bridges","10,038",5,2,40.7110316,-74.0013216,"411 Pearl Street
New York, NY 10038
(40.7110316, -74.0013216)","MANHATTAN",1,"29",NA,NA,NA,NA,"1","0","0","1","0","0"
"10","02M288","M288","Food and Finance High School","433","CTE School","French","English Language and Composition, Environmental Science, Government and Politics: United States, Studio Art: 2-D Design, United States History","4-H, Anime, Arts, Baking, Cornell Nutrition, Drama; Educated and Aware Teens Who Inspire Smart Eating (EATWISE), Entrepreneurship, Gay/Straight Alliance, Guitar, National Honor Society, Peer Mediation/Conflict Resolution, Poetry, ProStart, Saturday Academy, Scholarship, School Newsletter, SkillsUSA, Step Dance, Student Government, Technology, Weight Training, Yearbook, Youth Leadership, Youth-run Business","Step Team, Yoga",NA,NA,"CTE School","Hell's Kitchen","10,019",18,2,40.7653384,-73.9931088,"525 West 50 Street
New York, NY 10019
(40.7653384, -73.9931088)","MANHATTAN",3,"135",82,62.7,77.3,59.6,"1","1","1","1","0","0"
"11","02M294","M294","Essex Street Academy","340",NA,"French, Portuguese, Spanish","Spanish Language","After-school and Saturday Program: Homework help in every subject provided by teachers four days a week until 6:00 PM; Other opportunities include Community Service, Student Newpaper, Fitness, Swimming, Glee Club, Big Sib Mentoring Program, Knitting Club, Social Justice Club, Mock Trial, Step Team, Student Government, Theater, Weight Room, Yearbook, Yoga","Boys Intramural Basketball Team",NA,NA,NA,"Lower East Side","10,002",7,2,40.717321,-73.989323,"350 Grand Street
New York, NY 10002
(40.717321, -73.989323)","MANHATTAN",1,"18",67.5,48.3,77.4,61.3,"1","1","1","1","0","0"
"12","02M296","M296","High School of Hospitality Management","399",NA,"Italian","English Literature and Composition, United States History","Book Club, Chess, Culinary Arts, Digital Learning, Drama, Event Planning, Field Trips to Colleges, Fitness Training, Pilates, Running, Graphic Arts, Guitar, Hydroponics Program, Internships in the Hospitality Industry, Junior Advisor Mentors, Saturday Regents Program, School Newspaper, Student Government, Explorers Program, Movie Night, Studio Art, Talent and Fashion Show, Yearbook, National Honor Society","Intramural Basketball, Flag Football",NA,NA,NA,"Hell's Kitchen","10,019",18,2,40.7653384,-73.9931088,"525 West 50 Street
New York, NY 10019
(40.7653384, -73.9931088)","MANHATTAN",3,"135",79.3,56,78.4,42.7,"1","1","1","1","0","0"
"13","02M298","M298","PACE High School","426",NA,"Spanish",NA,"Academic Tutorials, Advisory Debates, After-school Tutorials and Homework Help, Amnesty International, Bridge Running, buildOn, Cheerleading, Dance Team, Dramatic Arts Electives, Gay-Straight Alliance, Hip-Hop, Literary Magazine, Mentorships, Music, National Honor Society, School Website Management, Spanish National Honor Society, Step, Student Expositions, Student Government Organization, Student-designed Web/Literary Publications, Technology, Video Game, Yearbook, YMCA Youth Leadership, Youth and Government","Intramural sports include Basketball, Bridge Running, Flag Football, Handball, Soccer. We have a new Wellness Center with cardio machines and weights. Students can also join our YMCA programs such as Dance, Martial Arts and Swimming.","Biology, Chemistry, Chinese Language and Culture, English Language and Composition, United States History, World History",NA,NA,"Chinatown","10,002",5,2,40.71651,-73.9936997,"100 Hester Street
New York, NY 10002
(40.71651, -73.9936997)","MANHATTAN",1,"16",91.5,79.6,86.9,78.7,"1","0","1","1","1","0"
"14","02M300","M300","The Urban Assembly School of Design and Construction","418",NA,"German, Spanish","English Literature and Composition, United States History, World History","After-school Field Trips and Office Tours, After-school Summer Design Courses offered at Art Institutions, Art, Chess, Dance & Step Team, Design, Drama, Environmental, Homework Center, International Travel Opportunities, Junior State of America (JSA), Math Lab, New York Cares Community Service Projects, Peer Tutoring, Photo & Media, SAT Preparation, Student Council, Weight Training, Yoga","Girls Softball Club",NA,NA,NA,"Hell's Kitchen","10,019",18,2,40.7653384,-73.9931088,"525 West 50 Street
New York, NY 10019
(40.7653384, -73.9931088)","MANHATTAN",3,"135",66.3,47.5,61,46.5,"1","1","1","1","0","0"
"15","02M303","M303","The Facing History School","412",NA,"French, Spanish","English Language and Composition, United States History","Art Crew: Photography, Poetry, Visual Arts, Audio, Dance, Drumming; Cheerleading, Community Service, Conflict Resolution, Fairness Committee, Gay-Straight Alliance, HUSO, Junior Year Student Committee, MOST (Men of Strength), Peer Leaders, Senior Year Student Committee, Student Council, Tech Crew, Unity (Girls Club); Additional clubs are created based on student interest","Activities to be formed based on student interest",NA,NA,NA,"Hell's Kitchen","10,019",18,2,40.7653384,-73.9931088,"525 West 50 Street
New York, NY 10019
(40.7653384, -73.9931088)","MANHATTAN",3,"135",55.3,50,65.2,43.4,"1","1","1","1","0","0"
"16","02M305","M305","The Urban Assembly Academy of Government and Law","309",NA,"Spanish","Economics: Micro, English Literature and Composition, Spanish Language, United States History","Student Government, Art, Basketball, Soccer, Music, Weight Room, Law Team, Freaks and Geeks, Senior Committee, Mentoring, Soccer, Tutoring in all subject areas.","AGL Intramural Basketball",NA,NA,NA,"Lower East Side","10,002",7,2,40.717321,-73.989323,"350 Grand Street
New York, NY 10002
(40.717321, -73.989323)","MANHATTAN",1,"18",67.8,54.8,78.3,64.4,"1","1","1","1","0","0"
"17","02M308","M308","Lower Manhattan Arts Academy","351",NA,"Spanish","Calculus AB, Physics B","Cheerleading, Chess, Chorus, Dance, LoMA Theatre Ensemble, New York Cares Volunteer Group, Student Government, Studio Art, Video Production, Ultimate Frisbee","Intramural Sports: Basketball, Swimming","English Language and Composition, Spanish Language",NA,NA,"Lower East Side","10,002",7,2,40.717321,-73.989323,"350 Grand Street
New York, NY 10002
(40.717321, -73.989323)","MANHATTAN",1,"18",76.2,47.8,68.3,58.7,"1","1","1","1","1","0"
"18","02M316","M316","The Urban Assembly School of Business for Young Women","419","All-Girls School","Spanish","Chemistry, Spanish Language, United States History","Business Trips, Community Service, Dance, Digital Photography, Power Luncheons, PSAT and SAT Preparation, Step Team, Student Government, The Urban Assembly School of Business for Young Women (UASBYW) Mentoring Program, Travel, Yearbook, Yoga, Etiquette Club","Basketball, Golf, Track, Volleyball","Chemistry",NA,"All-Girls School","Financial District","10,004",1,2,40.7054386,-74.0132719,"26 Broadway
New York, NY 10004
(40.7054386, -74.0132719)","MANHATTAN",1,"9",80.3,64,70.5,63.9,"1","1","1","1","1","0"
"19","02M374","M374","Gramercy Arts High School","513",NA,"Italian",NA,"Union Square Partnership: Step Team, Vineyard Theatre, Culinary, Fitness, Boxing, Debate, Model UN; Video Lab at the New School, Dance, Photography, Yoga","All students are eligible for Washington Irving Educational Campus Public Schools Athletic League (PSAL) Sports Teams",NA,NA,NA,"Flatiron District","10,003",13,2,40.735387,-73.9878639,"40 Irving Place
New York, NY 10003
(40.735387, -73.9878639)","MANHATTAN",2,"50",77.8,40.4,74.2,47.9,"1","0","1","1","0","0"
